Source	LCG 1	LCG 2	LCG 3	LCG 4	LCG 5	LCG 6	LCG 7	LCG 8
heart	ChestPainType (0.336)	ChestPainType (0.310)	ChestPainType (0.332)	ChestPainType (0.347)	ChestPainType (0.341)	Cholesterol (0.339)	Age (0.318)	ChestPainType (0.320)
	MaxHR (0.174)	Age (0.230)	Age (0.256)	MaxHR (0.165)	Age (0.218)	ChestPainType (0.207)	ChestPainType (0.211)	MaxHR (0.198)
	RestingBP (0.092)	RestingBP (0.091)	RestingBP (0.091)	Age (0.118)	FastingBS (0.077)	Age (0.126)	FastingBS (0.093)	Cholesterol (0.103)
	FastingBS (0.077)	FastingBS (0.071)	FastingBS (0.075)	FastingBS (0.078)	Oldpeak (0.062)	MaxHR (0.090)	Oldpeak (0.076)	Sex (0.075)
	Oldpeak (0.064)	Cholesterol (0.071)	ST_Slope (0.060)	Cholesterol (0.070)	ST_Slope (0.061)	RestingBP (0.056)	Sex (0.068)	Age (0.071)
Cardiovascular_Disease_Dataset	oldpeak (0.337)	oldpeak (0.310)	oldpeak (0.358)	oldpeak (0.354)	oldpeak (0.376)	oldpeak (0.358)	oldpeak (0.310)	noofmajorvessels (0.348)
	chestpain (0.193)	fastingbloodsugar (0.199)	fastingbloodsugar (0.190)	fastingbloodsugar (0.212)	chestpain (0.166)	fastingbloodsugar (0.190)	fastingbloodsugar (0.199)	chestpain (0.143)
	noofmajorvessels (0.074)	chestpain (0.156)	chestpain (0.155)	chestpain (0.148)	noofmajorvessels (0.080)	chestpain (0.155)	chestpain (0.156)	age (0.123)
	exerciseangia (0.060)	noofmajorvessels (0.047)	restingBP (0.110)	noofmajorvessels (0.056)	fastingbloodsugar (0.064)	restingBP (0.110)	noofmajorvessels (0.047)	exerciseangia (0.078)
	fastingbloodsugar (0.059)	restingBP (0.044)	exerciseangia (0.049)	slope (0.043)	gender (0.064)	exerciseangia (0.049)	restingBP (0.044)	fastingbloodsugar (0.055)
Heart_disease_statlog	cp (0.330)	ca (0.299)	cp (0.310)	cp (0.376)	cp (0.353)	cp (0.300)	ca (0.295)	cp (0.331)
	fbs (0.207)	cp (0.242)	ca (0.278)	fbs (0.189)	fbs (0.221)	ca (0.269)	cp (0.240)	fbs (0.170)
	trestbps (0.148)	fbs (0.162)	fbs (0.153)	oldpeak (0.153)	oldpeak (0.157)	fbs (0.152)	fbs (0.157)	oldpeak (0.142)
	age (0.087)	trestbps (0.112)	trestbps (0.108)	trestbps (0.119)	trestbps (0.064)	oldpeak (0.124)	trestbps (0.116)	trestbps (0.130)
	ca (0.053)	age (0.069)	oldpeak (0.065)	ca (0.047)	ca (0.052)	age (0.065)	age (0.066)	age (0.079)
Erbil_Cardiovascular_Health_Dataset	Q_WAVE (0.557)	Q_WAVE (0.452)	Q_WAVE (0.535)	Q_WAVE (0.481)	Q_WAVE (0.557)	Q_WAVE (0.535)	Q_WAVE (0.452)	Q_WAVE (0.455)
	LDL_CHOLESTEROL (0.083)	HEART_RATE (0.130)	HEART_RATE (0.108)	HEART_RATE (0.159)	LDL_CHOLESTEROL (0.083)	HEART_RATE (0.108)	HEART_RATE (0.130)	HEART_RATE (0.122)
	ECG_PATTERN (0.054)	AGE (0.097)	AGE (0.104)	LDL_CHOLESTEROL (0.094)	ECG_PATTERN (0.054)	AGE (0.104)	AGE (0.097)	AGE (0.106)
	WEIGHT (0.042)	LDL_CHOLESTEROL (0.091)	FAMILY_HISTORY (0.048)	AGE (0.088)	WEIGHT (0.042)	FAMILY_HISTORY (0.048)	LDL_CHOLESTEROL (0.091)	LDL_CHOLESTEROL (0.071)
	HEIGHT (0.040)	FAMILY_HISTORY (0.041)	ECG_PATTERN (0.047)	ECG_PATTERN (0.042)	HEIGHT (0.040)	ECG_PATTERN (0.047)	FAMILY_HISTORY (0.041)	ECG_PATTERN (0.045)
heart_failure_clinical_records	platelets (0.416)	age (0.285)	serum_sodium (0.335)	serum_sodium (0.426)	platelets (0.416)	serum_sodium (0.404)	platelets (0.269)	platelets (0.322)
	time (0.134)	high_blood_pressure (0.229)	platelets (0.235)	ejection_fraction (0.144)	time (0.134)	ejection_fraction (0.178)	time (0.253)	time (0.117)
	ejection_fraction (0.078)	ejection_fraction (0.176)	time (0.219)	serum_creatinine (0.082)	ejection_fraction (0.078)	platelets (0.142)	ejection_fraction (0.168)	high_blood_pressure (0.117)
	high_blood_pressure (0.066)	sex (0.085)	ejection_fraction (0.059)	time (0.082)	high_blood_pressure (0.066)	high_blood_pressure (0.109)	high_blood_pressure (0.070)	serum_sodium (0.104)
	sex (0.057)	smoking (0.073)	high_blood_pressure (0.047)	high_blood_pressure (0.078)	sex (0.057)	sex (0.046)	serum_sodium (0.058)	ejection_fraction (0.087)
cardio_SAheart	FAMILY_HISTORY (0.327)	LDL_CHOLESTEROL (0.311)	LDL_CHOLESTEROL (0.351)	FAMILY_HISTORY (0.327)	FAMILY_HISTORY (0.327)	LDL_CHOLESTEROL (0.351)	FAMILY_HISTORY (0.299)	FAMILY_HISTORY (0.321)
	ID (0.147)	AGE (0.254)	AGE (0.233)	ID (0.147)	ID (0.147)	AGE (0.233)	LDL_CHOLESTEROL (0.247)	ID (0.157)
	AGE (0.103)	FAMILY_HISTORY (0.127)	FAMILY_HISTORY (0.144)	AGE (0.103)	AGE (0.103)	FAMILY_HISTORY (0.144)	ID (0.110)	AGE (0.154)
	LDL_CHOLESTEROL (0.095)	TYPE_A_BEHAVIOR (0.117)	TYPE_A_BEHAVIOR (0.134)	LDL_CHOLESTEROL (0.095)	LDL_CHOLESTEROL (0.095)	TYPE_A_BEHAVIOR (0.134)	AGE (0.080)	TYPE_A_BEHAVIOR (0.100)
	TYPE_A_BEHAVIOR (0.088)	OBESITY (0.041)	ID (0.061)	TYPE_A_BEHAVIOR (0.088)	TYPE_A_BEHAVIOR (0.088)	ID (0.061)	OBESITY (0.072)	SYSTOLIC_BLOOD_PRESSURE (0.097)
