Source	LCG 1	LCG 2	LCG 3	LCG 4	LCG 5	LCG 6	LCG 7	LCG 8
heart	Age (0.272)	ChestPainType (0.287)	ChestPainType (0.302)	ChestPainType (0.326)	ChestPainType (0.276)	ChestPainType (0.302)	ChestPainType (0.265)	ChestPainType (0.246)
	ChestPainType (0.255)	Age (0.203)	Age (0.225)	Cholesterol (0.109)	Age (0.257)	Age (0.225)	Age (0.236)	Age (0.244)
	FastingBS (0.077)	Cholesterol (0.093)	FastingBS (0.077)	MaxHR (0.107)	FastingBS (0.080)	FastingBS (0.077)	Cholesterol (0.091)	Cholesterol (0.089)
	Cholesterol (0.072)	MaxHR (0.091)	RestingBP (0.066)	Age (0.097)	RestingBP (0.071)	RestingBP (0.066)	FastingBS (0.080)	FastingBS (0.074)
	Sex (0.062)	FastingBS (0.077)	MaxHR (0.063)	FastingBS (0.074)	Cholesterol (0.066)	MaxHR (0.063)	MaxHR (0.072)	Sex (0.069)
Cardiovascular_Disease_Dataset	oldpeak (0.219)	noofmajorvessels (0.190)	oldpeak (0.301)	oldpeak (0.301)	oldpeak (0.301)	oldpeak (0.301)	fastingbloodsugar (0.192)	noofmajorvessels (0.157)
	noofmajorvessels (0.157)	fastingbloodsugar (0.167)	fastingbloodsugar (0.153)	fastingbloodsugar (0.153)	fastingbloodsugar (0.153)	fastingbloodsugar (0.153)	chestpain (0.146)	fastingbloodsugar (0.148)
	chestpain (0.137)	age (0.139)	chestpain (0.140)	chestpain (0.140)	chestpain (0.140)	chestpain (0.140)	noofmajorvessels (0.145)	oldpeak (0.133)
	age (0.096)	chestpain (0.130)	noofmajorvessels (0.075)	noofmajorvessels (0.075)	noofmajorvessels (0.075)	noofmajorvessels (0.075)	oldpeak (0.124)	chestpain (0.131)
	fastingbloodsugar (0.086)	oldpeak (0.119)	restingBP (0.052)	restingBP (0.052)	restingBP (0.052)	restingBP (0.052)	age (0.117)	maxheartrate (0.087)
Heart_disease_statlog	cp (0.323)	cp (0.317)	cp (0.291)	cp (0.316)	cp (0.341)	cp (0.292)	cp (0.303)	cp (0.323)
	fbs (0.157)	fbs (0.152)	ca (0.279)	ca (0.221)	fbs (0.170)	ca (0.264)	ca (0.208)	fbs (0.157)
	ca (0.128)	ca (0.146)	fbs (0.157)	fbs (0.178)	oldpeak (0.124)	fbs (0.149)	fbs (0.143)	ca (0.128)
	trestbps (0.122)	trestbps (0.119)	oldpeak (0.093)	trestbps (0.075)	trestbps (0.114)	oldpeak (0.091)	trestbps (0.096)	trestbps (0.122)
	oldpeak (0.111)	oldpeak (0.109)	age (0.051)	oldpeak (0.073)	ca (0.094)	trestbps (0.068)	oldpeak (0.095)	oldpeak (0.111)
Erbil_Cardiovascular_Health_Dataset	Q_WAVE (0.536)	Q_WAVE (0.480)	Q_WAVE (0.487)	Q_WAVE (0.521)	Q_WAVE (0.567)	Q_WAVE (0.497)	Q_WAVE (0.480)	Q_WAVE (0.480)
	LDL_CHOLESTEROL (0.060)	AGE (0.095)	HEART_RATE (0.101)	HEART_RATE (0.091)	HEART_RATE (0.058)	HEART_RATE (0.097)	AGE (0.095)	AGE (0.095)
	AGE (0.060)	HEART_RATE (0.093)	LDL_CHOLESTEROL (0.090)	LDL_CHOLESTEROL (0.071)	LDL_CHOLESTEROL (0.056)	AGE (0.087)	HEART_RATE (0.093)	HEART_RATE (0.093)
	ECG_PATTERN (0.051)	LDL_CHOLESTEROL (0.085)	AGE (0.079)	AGE (0.052)	ECG_PATTERN (0.055)	LDL_CHOLESTEROL (0.075)	LDL_CHOLESTEROL (0.085)	LDL_CHOLESTEROL (0.085)
	HEIGHT (0.046)	ECG_PATTERN (0.045)	ECG_PATTERN (0.047)	ECG_PATTERN (0.051)	YEARS_SMOKING (0.041)	ECG_PATTERN (0.046)	ECG_PATTERN (0.045)	ECG_PATTERN (0.045)
