Source	LCG 1	LCG 2	LCG 3	LCG 4	LCG 5	LCG 6	LCG 7	LCG 8
heart	ChestPainType (0.394)	Cholesterol (0.402)	Cholesterol (0.453)	ChestPainType (0.480)	Cholesterol (0.514)	Cholesterol (0.453)	Cholesterol (0.426)	ChestPainType (0.394)
	FastingBS (0.089)	ChestPainType (0.143)	ChestPainType (0.271)	Cholesterol (0.091)	ChestPainType (0.157)	ChestPainType (0.271)	ChestPainType (0.241)	FastingBS (0.089)
	Cholesterol (0.085)	MaxHR (0.121)	RestingBP (0.075)	Sex (0.081)	RestingBP (0.077)	RestingBP (0.075)	RestingBP (0.066)	Cholesterol (0.085)
	Sex (0.075)	RestingBP (0.082)	Sex (0.043)	ST_Slope (0.081)	ST_Slope (0.055)	Sex (0.043)	MaxHR (0.058)	Sex (0.075)
	Age (0.073)	FastingBS (0.062)	ST_Slope (0.035)	Age (0.067)	Sex (0.049)	ST_Slope (0.035)	FastingBS (0.055)	Age (0.073)
Cardiovascular_Disease_Dataset	oldpeak (0.679)	oldpeak (0.679)	oldpeak (0.679)	oldpeak (0.679)	oldpeak (0.679)	oldpeak (0.679)	oldpeak (0.679)	oldpeak (0.679)
	chestpain (0.072)	chestpain (0.072)	chestpain (0.072)	chestpain (0.072)	chestpain (0.072)	chestpain (0.072)	chestpain (0.072)	chestpain (0.072)
	noofmajorvessels (0.035)	noofmajorvessels (0.035)	noofmajorvessels (0.035)	noofmajorvessels (0.035)	noofmajorvessels (0.035)	noofmajorvessels (0.035)	noofmajorvessels (0.035)	noofmajorvessels (0.035)
	exerciseangia (0.035)	exerciseangia (0.035)	exerciseangia (0.035)	exerciseangia (0.035)	exerciseangia (0.035)	exerciseangia (0.035)	exerciseangia (0.035)	exerciseangia (0.035)
	gender (0.033)	gender (0.033)	gender (0.033)	gender (0.033)	gender (0.033)	gender (0.033)	gender (0.033)	gender (0.033)
Heart_disease_statlog	cp (0.585)	cp (0.445)	cp (0.387)	cp (0.585)	cp (0.585)	cp (0.419)	cp (0.387)	cp (0.414)
	ca (0.072)	fbs (0.219)	ca (0.336)	ca (0.072)	ca (0.072)	ca (0.370)	ca (0.336)	fbs (0.269)
	fbs (0.057)	age (0.096)	age (0.087)	fbs (0.057)	fbs (0.057)	sex (0.049)	age (0.087)	ca (0.064)
	sex (0.056)	ca (0.054)	fbs (0.038)	sex (0.056)	sex (0.056)	fbs (0.041)	fbs (0.038)	sex (0.064)
	trestbps (0.047)	sex (0.052)	sex (0.037)	trestbps (0.047)	trestbps (0.047)	oldpeak (0.029)	sex (0.037)	trestbps (0.041)
Erbil_Cardiovascular_Health_Dataset	Q_WAVE (0.681)	Q_WAVE (0.517)	Q_WAVE (0.489)	Q_WAVE (0.489)	Q_WAVE (0.489)	Q_WAVE (0.489)	Q_WAVE (0.517)	Q_WAVE (0.497)
	LDL_CHOLESTEROL (0.086)	HEART_RATE (0.172)	HEART_RATE (0.335)	HEART_RATE (0.335)	HEART_RATE (0.335)	HEART_RATE (0.335)	HEART_RATE (0.172)	HEART_RATE (0.185)
	ECG_PATTERN (0.047)	AGE (0.105)	ECG_PATTERN (0.028)	ECG_PATTERN (0.028)	ECG_PATTERN (0.028)	ECG_PATTERN (0.028)	AGE (0.105)	ECG_PATTERN (0.064)
	HEART_RATE (0.031)	ECG_PATTERN (0.045)	WEIGHT (0.021)	WEIGHT (0.021)	WEIGHT (0.021)	WEIGHT (0.021)	ECG_PATTERN (0.045)	WEIGHT (0.041)
	AGE (0.023)	FAMILY_HISTORY (0.028)	HEIGHT (0.021)	HEIGHT (0.021)	HEIGHT (0.021)	HEIGHT (0.021)	FAMILY_HISTORY (0.028)	AGE (0.038)
heart_failure_clinical_records	platelets (0.538)	platelets (0.402)	time (0.494)	time (0.580)	ejection_fraction (0.575)	ejection_fraction (0.501)	platelets (0.402)	serum_sodium (0.492)
	time (0.115)	serum_sodium (0.342)	ejection_fraction (0.302)	serum_sodium (0.098)	time (0.247)	time (0.246)	serum_sodium (0.342)	ejection_fraction (0.126)
	serum_sodium (0.075)	high_blood_pressure (0.094)	serum_sodium (0.127)	ejection_fraction (0.098)	platelets (0.047)	serum_sodium (0.100)	high_blood_pressure (0.094)	age (0.089)
	high_blood_pressure (0.062)	sex (0.037)	platelets (0.024)	serum_creatinine (0.053)	high_blood_pressure (0.044)	platelets (0.088)	sex (0.037)	serum_creatinine (0.066)
	sex (0.046)	diabetes (0.036)	high_blood_pressure (0.014)	smoking (0.035)	smoking (0.024)	high_blood_pressure (0.016)	diabetes (0.036)	high_blood_pressure (0.066)
cardio_SAheart	LDL_CHOLESTEROL (0.509)	ID (0.446)	ID (0.446)	ID (0.579)	ID (0.579)	ID (0.446)	AGE (0.418)	ID (0.408)
	FAMILY_HISTORY (0.198)	FAMILY_HISTORY (0.320)	FAMILY_HISTORY (0.320)	FAMILY_HISTORY (0.214)	FAMILY_HISTORY (0.214)	FAMILY_HISTORY (0.320)	FAMILY_HISTORY (0.224)	FAMILY_HISTORY (0.176)
	AGE (0.100)	LDL_CHOLESTEROL (0.144)	LDL_CHOLESTEROL (0.144)	LDL_CHOLESTEROL (0.073)	LDL_CHOLESTEROL (0.073)	LDL_CHOLESTEROL (0.144)	ID (0.125)	TYPE_A_BEHAVIOR (0.153)
	ALCOHOL_CONSUMPTION (0.053)	SYSTOLIC_BLOOD_PRESSURE (0.027)	SYSTOLIC_BLOOD_PRESSURE (0.027)	ALCOHOL_CONSUMPTION (0.049)	ALCOHOL_CONSUMPTION (0.049)	SYSTOLIC_BLOOD_PRESSURE (0.027)	LDL_CHOLESTEROL (0.069)	AGE (0.100)
	TYPE_A_BEHAVIOR (0.043)	ALCOHOL_CONSUMPTION (0.022)	ALCOHOL_CONSUMPTION (0.022)	TYPE_A_BEHAVIOR (0.047)	TYPE_A_BEHAVIOR (0.047)	ALCOHOL_CONSUMPTION (0.022)	TYPE_A_BEHAVIOR (0.053)	LDL_CHOLESTEROL (0.073)
