iter	Logloss
0	0.692528367
1	0.6922181845
2	0.6919080019
3	0.6915991306
4	0.690721035
5	0.6898364425
6	0.6892212629
7	0.6883461475
8	0.6874698997
9	0.6871651411
10	0.6868602037
11	0.6865541935
12	0.6856826544
13	0.6850690842
14	0.6841964722
15	0.6839176416
16	0.683047533
17	0.6819226742
18	0.6810574532
19	0.6801975965
20	0.6798942685
21	0.6795939207
22	0.6787332892
23	0.6778752208
24	0.6772742271
25	0.6764143705
26	0.6755610704
27	0.6749631166
28	0.6741127968
29	0.6732612252
30	0.6724103093
31	0.671564281
32	0.6707180738
33	0.6704211235
34	0.6695777774
35	0.6687295437
36	0.6684353352
37	0.6681402326
38	0.6673007011
39	0.6670101881
40	0.6667327285
41	0.6661472321
42	0.6653082371
43	0.6650154591
44	0.6641790867
45	0.6633393168
46	0.6627569199
47	0.6624696255
48	0.6621770859
49	0.6613454819
50	0.6610720158
51	0.6602438092
52	0.6594165564
53	0.65883708
54	0.6580137014
55	0.657194376
56	0.6563720703
57	0.6560841799
58	0.6552619934
59	0.6544468403
60	0.6536331177
61	0.6528180242
62	0.6520024538
63	0.6517164707
64	0.6511467695
65	0.6503343582
66	0.6500668526
67	0.6490183473
68	0.6482044458
69	0.647924006
70	0.6471180916
71	0.6463158131
72	0.6460338831
73	0.6452337503
74	0.644433558
75	0.643874824
76	0.6430750489
77	0.6422793865
78	0.6412470341
79	0.6404550076
80	0.6401779056
81	0.6398968101
82	0.6396198869
83	0.6388312578
84	0.6385760307
85	0.6377880573
86	0.6369973421
87	0.6367229223
88	0.6359353662
89	0.6353840232
90	0.6351110935
91	0.6343312263
92	0.6337860823
93	0.6335104704
94	0.6327314377
95	0.6319489479
96	0.6311740279
97	0.6303992271
98	0.6301258206
99	0.6293541193
