iter	Passed	Remaining
0	0	71
1	0	72
2	1	70
3	1	68
4	1	67
5	2	65
6	2	65
7	2	67
8	6	141
9	7	133
10	7	126
11	14	229
12	15	216
13	15	204
14	15	194
15	16	185
16	16	176
17	16	168
18	17	162
19	17	156
20	17	150
21	17	145
22	18	141
23	18	136
24	18	132
25	19	128
26	19	124
27	19	121
28	20	118
29	20	115
30	20	112
31	21	110
32	21	107
33	21	105
34	21	103
35	22	101
36	22	99
37	22	97
38	23	96
39	23	94
40	24	93
41	24	91
42	24	90
43	24	88
44	25	87
45	25	85
46	26	84
47	26	83
48	26	82
49	27	81
50	27	80
51	27	79
52	28	78
53	28	76
54	28	75
55	29	74
56	29	73
57	29	72
58	30	71
59	30	70
60	30	69
61	30	68
62	31	68
63	31	67
64	32	66
65	32	66
66	32	65
67	33	64
68	34	65
69	34	64
70	35	63
71	35	62
72	35	62
73	36	61
74	36	60
75	36	60
76	37	59
77	37	58
78	37	57
79	38	57
80	38	56
81	38	55
82	39	55
83	39	54
84	39	53
85	40	53
86	40	52
87	40	51
88	41	51
89	41	50
90	41	50
91	42	49
92	42	48
93	42	48
94	43	47
95	43	47
96	44	46
97	44	46
98	44	45
99	45	45
100	45	44
101	45	43
102	46	43
103	46	42
104	46	42
105	47	41
106	47	41
107	47	40
108	48	40
109	48	39
110	48	38
111	48	38
112	49	37
113	49	37
114	49	36
115	50	36
116	50	35
117	50	35
118	50	34
119	51	34
120	51	33
121	51	33
122	52	32
123	52	32
124	52	31
125	53	31
126	53	30
127	53	30
128	54	29
129	54	29
130	54	28
131	55	28
132	55	27
133	55	27
134	56	27
135	57	26
136	57	26
137	57	25
138	58	25
139	58	25
140	58	24
141	58	24
142	59	23
143	59	23
144	59	22
145	60	22
146	60	21
147	60	21
148	61	20
149	61	20
150	61	20
151	62	19
152	62	19
153	62	18
154	63	18
155	63	17
156	63	17
157	64	17
158	64	16
159	64	16
160	65	15
161	65	15
162	65	14
163	66	14
164	66	14
165	66	13
166	66	13
167	67	12
168	67	12
169	67	11
170	68	11
171	68	11
172	68	10
173	69	10
174	69	9
175	69	9
176	70	9
177	70	8
178	70	8
179	70	7
180	71	7
181	71	7
182	72	6
183	72	6
184	72	5
185	73	5
186	73	5
187	73	4
188	73	4
189	74	3
190	74	3
191	74	3
192	75	2
193	75	2
194	75	1
195	76	1
196	76	1
197	76	0
198	77	0
199	77	0
