,white_piece0_strength,white_piece0_file,white_piece0_rank,black_piece0_strength,black_piece0_file,black_piece0_rank,class
0,0.0,1.0,8.0,0.0,0.0,8.0,w
1,0.0,2.0,8.0,0.0,0.0,8.0,w
2,0.0,4.0,8.0,0.0,0.0,8.0,w
3,0.0,5.0,8.0,0.0,0.0,8.0,w
4,0.0,6.0,8.0,0.0,0.0,8.0,w
5,0.0,0.0,7.0,0.0,0.0,8.0,w
6,0.0,1.0,7.0,0.0,0.0,8.0,w
7,0.0,2.0,7.0,0.0,0.0,8.0,w
8,0.0,3.0,7.0,0.0,0.0,8.0,w
9,0.0,4.0,7.0,0.0,0.0,8.0,w
10,0.0,5.0,7.0,0.0,0.0,8.0,w
11,0.0,6.0,7.0,0.0,0.0,8.0,w
12,0.0,0.0,6.0,0.0,0.0,8.0,b
13,0.0,1.0,6.0,0.0,0.0,8.0,w
14,0.0,2.0,6.0,0.0,0.0,8.0,w
15,0.0,3.0,6.0,0.0,0.0,8.0,w
16,0.0,4.0,6.0,0.0,0.0,8.0,w
17,0.0,5.0,6.0,0.0,0.0,8.0,w
18,0.0,6.0,6.0,0.0,0.0,8.0,w
19,0.0,0.0,5.0,0.0,0.0,8.0,w
20,0.0,1.0,5.0,0.0,0.0,8.0,b
21,0.0,2.0,5.0,0.0,0.0,8.0,w
22,0.0,3.0,5.0,0.0,0.0,8.0,w
23,0.0,4.0,5.0,0.0,0.0,8.0,w
24,0.0,5.0,5.0,0.0,0.0,8.0,w
25,0.0,6.0,5.0,0.0,0.0,8.0,w
26,0.0,0.0,4.0,0.0,0.0,8.0,b
27,0.0,1.0,4.0,0.0,0.0,8.0,w
28,0.0,2.0,4.0,0.0,0.0,8.0,b
29,0.0,3.0,4.0,0.0,0.0,8.0,w
30,0.0,4.0,4.0,0.0,0.0,8.0,w
31,0.0,5.0,4.0,0.0,0.0,8.0,w
32,0.0,6.0,4.0,0.0,0.0,8.0,b
33,0.0,0.0,3.0,0.0,0.0,8.0,w
34,0.0,1.0,3.0,0.0,0.0,8.0,b
35,0.0,2.0,3.0,0.0,0.0,8.0,w
36,0.0,3.0,3.0,0.0,0.0,8.0,b
37,0.0,4.0,3.0,0.0,0.0,8.0,w
38,0.0,5.0,3.0,0.0,0.0,8.0,b
39,0.0,6.0,3.0,0.0,0.0,8.0,w
40,0.0,0.0,2.0,0.0,0.0,8.0,b
41,0.0,1.0,2.0,0.0,0.0,8.0,w
42,0.0,2.0,2.0,0.0,0.0,8.0,b
43,0.0,3.0,2.0,0.0,0.0,8.0,w
44,0.0,4.0,2.0,0.0,0.0,8.0,b
45,0.0,5.0,2.0,0.0,0.0,8.0,w
46,0.0,6.0,2.0,0.0,0.0,8.0,b
47,0.0,0.0,1.0,0.0,0.0,8.0,w
48,0.0,1.0,1.0,0.0,0.0,8.0,b
49,0.0,2.0,1.0,0.0,0.0,8.0,w
50,0.0,3.0,1.0,0.0,0.0,8.0,b
51,0.0,4.0,1.0,0.0,0.0,8.0,w
52,0.0,5.0,1.0,0.0,0.0,8.0,b
53,0.0,6.0,1.0,0.0,0.0,8.0,w
54,0.0,0.0,0.0,0.0,0.0,8.0,b
55,0.0,1.0,0.0,0.0,0.0,8.0,w
56,0.0,2.0,0.0,0.0,0.0,8.0,b
57,0.0,4.0,0.0,0.0,0.0,8.0,b
58,0.0,5.0,0.0,0.0,0.0,8.0,w
59,0.0,6.0,0.0,0.0,0.0,8.0,b
60,0.0,0.0,8.0,0.0,1.0,8.0,w
61,0.0,2.0,8.0,0.0,1.0,8.0,w
62,0.0,4.0,8.0,0.0,1.0,8.0,w
63,0.0,5.0,8.0,0.0,1.0,8.0,w
64,0.0,6.0,8.0,0.0,1.0,8.0,w
