source	model	TRTR	TSTR_Single	TSTR_Multi	dTSTR	gap_Single	gap_Multi	TSTRstd_Single	TSTRstd_Multi
cardio_SAheart	CatBoost	0.7113	0.5763	0.7026	0.1263	-0.1350	-0.0087	0.0124	0.0452
cardio_SAheart	LogReg	0.7618	0.5288	0.6970	0.1682	-0.2330	-0.0647	0.0408	0.0301
cardio_SAheart	MLP	0.7013	0.5248	0.6347	0.1099	-0.1765	-0.0666	0.0375	0.0305
cardio_SAheart	RF	0.7225	0.5997	0.7036	0.1039	-0.1228	-0.0189	0.0359	0.0197
cardio_SAheart	XGBoost	0.7167	0.5684	0.6727	0.1043	-0.1483	-0.0439	0.0574	0.0561
heart_failure_clinical_records	CatBoost	0.8934	0.8398	0.9019	0.0621	-0.0537	0.0085	0.0298	0.0493
heart_failure_clinical_records	LogReg	0.8624	0.8362	0.8470	0.0108	-0.0262	-0.0154	0.0229	0.0510
heart_failure_clinical_records	MLP	0.7936	0.8002	0.8367	0.0365	0.0067	0.0431	0.0433	0.0335
heart_failure_clinical_records	RF	0.9031	0.8661	0.9113	0.0452	-0.0370	0.0082	0.0218	0.0347
heart_failure_clinical_records	XGBoost	0.8827	0.7055	0.8971	0.1916	-0.1771	0.0144	0.1288	0.0261
heart	CatBoost	0.9244	0.8981	0.9097	0.0116	-0.0264	-0.0147	0.0103	0.0150
heart	LogReg	0.9149	0.9113	0.9132	0.0019	-0.0036	-0.0017	0.0152	0.0060
heart	MLP	0.8716	0.8743	0.8659	-0.0084	0.0027	-0.0057	0.0183	0.0167
heart	RF	0.9215	0.9090	0.9117	0.0027	-0.0125	-0.0098	0.0126	0.0108
heart	XGBoost	0.9160	0.8938	0.8950	0.0012	-0.0221	-0.0209	0.0177	0.0219
Erbil_Cardiovascular_Health_Dataset	CatBoost	0.9964	0.9614	0.9581	-0.0033	-0.0350	-0.0383	0.0136	0.0218
Erbil_Cardiovascular_Health_Dataset	LogReg	0.9923	0.8919	0.9876	0.0957	-0.1004	-0.0046	0.0516	0.0087
Erbil_Cardiovascular_Health_Dataset	MLP	0.9861	0.7972	0.9828	0.1856	-0.1889	-0.0033	0.0510	0.0146
Erbil_Cardiovascular_Health_Dataset	RF	0.9915	0.9717	0.9743	0.0026	-0.0198	-0.0172	0.0207	0.0170
Erbil_Cardiovascular_Health_Dataset	XGBoost	0.9828	0.9581	0.9620	0.0039	-0.0247	-0.0207	0.0098	0.0151
Medicaldataset	CatBoost	0.9921	0.9872	0.9795	-0.0077	-0.0048	-0.0126	0.0036	0.0051
Medicaldataset	LogReg	0.8748	0.9374	0.8772	-0.0602	0.0626	0.0024	0.0051	0.0391
Medicaldataset	MLP	0.9184	0.9472	0.8524	-0.0948	0.0287	-0.0660	0.0109	0.0304
Medicaldataset	RF	0.9944	0.9850	0.9849	-0.0001	-0.0094	-0.0095	0.0050	0.0060
Medicaldataset	XGBoost	0.9909	0.9880	0.9792	-0.0088	-0.0029	-0.0118	0.0076	0.0051
Cardiovascular_Disease_Dataset	CatBoost	0.9967	0.9792	0.9836	0.0044	-0.0175	-0.0131	0.0068	0.0079
Cardiovascular_Disease_Dataset	LogReg	0.9930	0.9807	0.9865	0.0058	-0.0123	-0.0066	0.0091	0.0095
Cardiovascular_Disease_Dataset	MLP	0.9900	0.9814	0.9807	-0.0007	-0.0086	-0.0093	0.0074	0.0063
Cardiovascular_Disease_Dataset	RF	0.9969	0.9821	0.9846	0.0025	-0.0148	-0.0123	0.0066	0.0099
Cardiovascular_Disease_Dataset	XGBoost	0.9949	0.9716	0.9815	0.0099	-0.0233	-0.0135	0.0077	0.0062
